masterid,irrLoss2100_m2,irr2015_m2,currentIrr20152017_m2
35041,168578262.35294127,324122336.47058827,458794803.52941185
48317,22351962.352941178,84176950.5882353,123100980.00000001
48115,186085083.52941182,302827662.35294104,421672485.88235235
48003,19027983.529411767,40631678.82352943,61266995.29411769
48165,645358235.2941176,711974601.1764704,1125178584.7058816
48445,450614700,429333995.2941177,697575201.1764706
48305,160115022.35294122,234555518.82352948,391870987.0588233
48501,303715330.58823526,339767205.88235295,511713314.11764693
48079,207803714.11764696,273585564.7058822,413556183.5294107
48017,246385994.1176468,314833612.94117606,436254317.64705825
48279,682215254.1176462,643346121.1764698,994904064.7058814
48219,293204170.58823526,351684818.8235294,647833083.5294118
48303,297508789.41176474,257901659.99999994,516003412.9411762
48189,782771678.8235295,592465704.7058825,1067835543.5294116
48153,347916695.2941175,285151076.4705883,600441734.1176468
48129,20691e3,57916655.294117644,107758500.00000003
48179,2674800,99393921.1764706,157942108.23529413
48011,4264200,38949776.47058826,65284288.23529415
48065,52823816.47058824,248332005.88235283,409173998.82352936
48437,303943309.41176474,333186134.1176471,585546638.8235292
48381,47574148.23529412,121205265.88235292,227823776.4705882
48375,2354964.705882353,18262235.29411765,39761294.11764705
48069,944974771.7647055,885408539.9999998,1158456663.5294113
48369,866448201.1764705,713090085.882353,1110049955.2941175
35009,237109274.1176471,403871989.4117647,547581204.7058825
48117,586146007.0588236,632317683.5294118,971120978.8235289
48205,1100490282.3529406,1020430411.7647052,1150433167.0588229
48341,458279039.99999934,508606545.88235253,625695264.705882
48111,873939077.6470585,972119555.2941173,1183509959.9999998
48421,670408192.9411764,794589832.9411764,941614514.1176466
40139,549848057.6470588,768290167.0588236,981846755.2941178
48195,281137065.882353,518593168.235294,645689071.7647059
48233,125330936.47058825,206207382.352941,249760023.5294115
48393,445500,23610169.411764704,35322451.76470588
48357,96712771.76470588,334394851.76470584,490636591.76470584
40007,14576400,147267984.70588234,232876235.29411763
20175,167142910.58823538,440820575.29411775,524111932.94117665
20119,128699802.35294122,466270334.1176471,603266791.764706
20081,737037631.7647054,533954569.4117646,744564074.1176467
20069,655252972.9411765,524522700.0000001,854159474.1176469
20189,562856604.7058823,616560935.2941177,757390245.882353
20067,232464995.29411772,366518470.5882354,516586560.0000001
20129,58597849.41176472,143298271.76470587,229682297.6470588
20187,363441981.17647046,405126691.7647059,603986632.9411764
20093,133738277.64705884,326408894.1176471,462402095.29411775
20075,3204900,141309607.05882353,223022961.1764706
08099,5637748.235294118,420246317.64705884,546025351.7647059
20055,634063923.5294118,761784363.5294117,1108426877.647059
20171,311140747.0588235,347057728.2352941,782591865.8823528
20101,61586322.35294118,119712116.47058824,264892397.6470588
